ClientID,Location,Grade,Variety,Intention Tonnage,Delivered,Balance,,Marketing Pool
435,Micheldever Store,GROUP 1 WINTER,Crusoe,319.00,305.74,13.26,,SS Long Pool
435,Micheldever Store,MALTING BARLEY SP,Planet,290.00,338.78,-48.78,,SS Long Pool
435,Micheldever Store,MALTING BARLEY SP,Planet,60.00,59.56,0.44,,SS Double Use
399,Micheldever Store,GROUP 4 HARD,Kerrin,260.00,233.48,26.52,,SS Long Pool
399,Micheldever Store,GROUP 3 SOFT,Basset,200.00,212.78,-12.78,,SS Long Pool
399,Micheldever Store,GROUP 1 WINTER,Skyfall,300.00,260.40,39.60,,SS Long Pool
399,Micheldever Store,OILSEED RAPE,Mxd OSR,5.00,844.44,-839.44,,Members Choice
399,Micheldever Store,MALTING BARLEY SP,Propino,180.00,0.00,180.00,,SS Long Pool
399,,FEED WHEAT,,0.00,83.02,-83.02,,
504,Micheldever Store,GROUP 1 WINTER,Illustrious,165.00,174.22,-9.22,,SS Long Pool
504,Micheldever Store,OILSEED RAPE,Mxd OSR,25.00,19.76,5.24,,SS Long Pool
441,Micheldever Store,GROUP 2 WINTER,Siskin,500.00,519.04,-19.04,,SS Long Pool
441,Micheldever Store,FEED WHEAT,Mxd Feed,50.00,44.42,5.58,,SS Long Pool
441,Micheldever Store,MALTING BARLEY SP,Propino,380.00,354.98,25.02,,SS Long Pool
441,Micheldever Store,FEED BARLEY,Mxd Feed Barley,10.00,6.04,3.96,,SS Long Pool
441,Micheldever Store,OATS WINTER,Mascani,5.00,1.14,3.86,,SS Long Pool
441,Micheldever Store,OILSEED RAPE,Mxd OSR,215.00,240.74,-25.74,,SS Long Pool
478,Micheldever Store,FEED BARLEY,Bazooka,210.00,218.28,-8.28,,SS Long Pool
478,Micheldever Store,OILSEED RAPE,Mxd OSR,120.00,100.70,19.30,,SS Long Pool
442,Micheldever Store,GROUP 1 WINTER,Zyatt,140.00,131.50,8.50,,SS Long Pool
498,Micheldever Store,GROUP 1 WINTER,Zyatt,100.00,88.02,11.98,,SS Long Pool
498,Micheldever Store,MALTING BARLEY SP,Planet,250.00,261.74,-11.74,,SS Long Pool
498,Micheldever Store,GROUP 1 WINTER,Crusoe,60.00,294.76,-234.76,,SS Long Pool
498,,MXD HARD,,0.00,29.74,-29.74,,
449,Micheldever Store,GROUP 2 WINTER,Lili,505.00,364.92,140.08,,SS Long Pool
449,Micheldever Store,MALTING BARLEY SP,Planet,380.00,354.22,25.78,,SS Long Pool
449,Micheldever Store,OILSEED RAPE,Mxd OSR,195.00,194.28,0.72,,SS Long Pool
401,Micheldever Store,OATS SPRING,Canyon,100.00,0.00,100.00,,SS Long Pool
427,Micheldever Store,FEED BARLEY,Glacier,180.00,216.14,-36.14,,SS Long Pool
427,Micheldever Store,OILSEED RAPE,Mxd OSR,70.00,83.06,-13.06,,SS Long Pool
423,Micheldever Store,GROUP 2 WINTER,Lili,900.00,883.42,16.58,,SS Long Pool
423,Micheldever Store,MALTING BARLEY SP,Propino,700.00,641.68,58.32,,SS Long Pool
425,Micheldever Store,GROUP 4 HARD,Costello,120.00,57.70,62.30,,SS Long Pool
425,Micheldever Store,GROUP 2 WINTER,Lili,160.00,176.88,-16.88,,SS Long Pool
425,Micheldever Store,MALTING BARLEY SP,Planet,220.00,245.16,-25.16,,SS Long Pool
425,Micheldever Store,MALTING BARLEY SP,Propino,150.00,163.72,-13.72,,SS Long Pool
425,Micheldever Store,FEED BARLEY,Bazooka,350.00,363.70,-13.70,,SS Long Pool
425,Micheldever Store,OILSEED RAPE,Mxd OSR,20.00,15.18,4.82,,SS Long Pool
446,Micheldever Store,GROUP 4 HARD,Costello,179.00,163.24,15.76,,SS Long Pool
446,Micheldever Store,FEED BARLEY,Cassia,147.00,172.82,-25.82,,SS Long Pool
446,,FEED BARLEY,,0.00,27.04,-27.04,,
459,Micheldever Store,GROUP 1 WINTER,Crusoe,680.00,604.82,75.18,,SS Long Pool
459,Micheldever Store,GROUP 1 WINTER,Zyatt,114.00,87.72,26.28,,SS Long Pool
459,Micheldever Store,GROUP 4 HARD,Dickens,740.00,668.32,71.68,,SS Long Pool
459,Micheldever Store,GROUP 4 HARD,Graham,580.00,656.82,-76.82,,SS Long Pool
459,Micheldever Store,MALTING BARLEY SP,Planet,398.00,358.44,39.56,,SS Long Pool
459,Micheldever Store,MALTING BARLEY SP,Laureate,398.00,324.48,73.52,,SS Long Pool
459,Micheldever Store,OILSEED RAPE,Mxd OSR,490.00,570.08,-80.08,,SS Long Pool
459,Micheldever Store,BEANS SPRING,Fanfare,390.00,266.46,123.54,,SS Long Pool
411,,FEED WHEAT,,0.00,29.37,-29.37,,
434,Micheldever Store,GROUP 1 WINTER,Skyfall,880.00,292.90,587.10,,SS Long Pool
434,Shrewton Store,MALTING BARLEY SP,Propino,350.00,377.04,-27.04,,SS Long Pool
434,Micheldever Store,FEED WHEAT,Triticali/Purdy,70.00,59.42,10.58,,SS Long Pool
434,Micheldever Store,MALTING BARLEY SP,Propino,100.00,325.32,-225.32,,SS Long Pool
464,Micheldever Store,GROUP 1 WINTER,Crusoe,240.00,226.10,13.90,,SS Long Pool
464,Micheldever Store,MALTING BARLEY SP,Propino,300.00,285.40,14.60,,SS Long Pool
464,,FEED WHEAT,,0.00,25.70,-25.70,,
430,Micheldever Store,GROUP 1 WINTER,Crusoe,50.00,0.00,50.00,,SS Long Pool
430,Micheldever Store,MALTING BARLEY SP,Propino,550.00,496.10,53.90,,SS Long Pool
508,Micheldever Store,GROUP 1 WINTER,Crusoe,357.00,363.44,-6.44,,SS Long Pool
508,Micheldever Store,BEANS SPRING,Fury,81.00,65.72,15.28,,SS Long Pool
508,Micheldever Store,OILSEED RAPE,Mxd OSR,105.00,36.66,68.34,,SS Double Use
467,Micheldever Store,FEED BARLEY,California,150.00,116.82,33.18,,SS Long Pool
467,,FEED BARLEY,,0.00,16.06,-16.06,,
422,Micheldever Store,GROUP 4 HARD,Costello,100.00,59.14,40.86,,SS Long Pool
413,Micheldever Store,MALTING BARLEY W,Venture,510.00,583.14,-73.14,,Members Choice
